port	year	quarter	teu_p_q
Ashdod	2016	Q4	363440.231285615
Ashdod	2017	Q4	424331.806131712
Ashdod	2018	Q4	408566.326442004
Ashdod	2019	Q1	360499.0
Ashdod	2019	Q2	322016.0
Ashdod	2019	Q3	288594.0
Ashdod	2019	Q4	262311.0
Ashdod	2020	Q1	
Ashdod	2020	Q2	
Ashdod	2020	Q3	26586.0
Ashdod	2020	Q4	150543.75
Ashdod	2021	Q1	184935.0
Eilat	2018	Q4	111.000453200096
Eilat	2019	Q4	59.9961369454664
Eilat	2020	Q1	20.996908812555898
Eilat	2020	Q2	43.00098159377061
Eilat	2020	Q3	46.0
Eilat	2020	Q4	92.0
Eilat	2021	Q1	0.0
