port	terminal	year	quarter	TEU_i_q	w	Pi_teu_per_hour_i_y	LP_mix
Ashdod	Ashdod-Legacy	2021	Q3	408566.326442004	0.5473566408754122	39.0	21.346908994141078
Ashdod	Ashdod-Legacy	2021	Q4	397432.6401498001	0.008876267939691842	39.0	0.34617444964798183
Ashdod	Ashdod-Legacy	2022	Q1	360499.0	0.15495008941905403	37.0	5.733153308504999
Ashdod	Ashdod-Legacy	2022	Q2	374179.0	0.48486920843711295	37.0	17.940160712173178
Ashdod	Ashdod-Legacy	2022	Q3	374345.0	1.4016310291382235	37.0	51.86034807811427
Ashdod	Ashdod-Legacy	2022	Q4	322016.0	1.9585496730056093	37.0	72.46633790120755
Ashdod	Ashdod-Legacy	2023	Q1	302791.0	0.7944741671350604	35.0	27.806595849727113
Ashdod	Ashdod-Legacy	2023	Q2	290606.0	1.238089946065462	35.0	43.33314811229117
Ashdod	Ashdod-Legacy	2023	Q3	288594.0	1.1163437708597221	35.0	39.07203198009027
Ashdod	Ashdod-Legacy	2023	Q4	240054.0	0.851092115939756	35.0	29.78822405789146
Ashdod	Ashdod-Legacy	2024	Q1	280925.0	0.7337428270652806	38.0	27.88222742848066
Ashdod	Ashdod-Legacy	2024	Q2	262311.0	1.1575402811774753	38.0	43.98653068474406
Ashdod	Ashdod-Legacy	2024	Q3	309830.0	1.0811288028279973	38.0	41.0828945074639
Ashdod	Ashdod-Legacy	2024	Q4	302369.0	1.0275880889292468	38.0	39.04834737931138
