terminal	year	Pi_teu_per_hour_i_y	Pi_unique_count
Ashdod-HCT	2021	31.200000000000003	1.0
Ashdod-HCT	2022	29.6	1.0
Ashdod-HCT	2023	28.0	1.0
Ashdod-HCT	2024	61.0	1.0
Ashdod-Legacy	2018	41.0	1.0
Ashdod-Legacy	2019	42.0	1.0
Ashdod-Legacy	2020	39.0	1.0
Ashdod-Legacy	2021	39.0	1.0
Ashdod-Legacy	2022	37.0	1.0
Ashdod-Legacy	2023	35.0	1.0
Ashdod-Legacy	2024	38.0	1.0
Haifa-Bayport	2021	43.16326530612245	1.0
Haifa-Bayport	2022	43.16326530612245	1.0
Haifa-Bayport	2023	45.0	1.0
Haifa-Bayport	2024	50.0	1.0
Haifa-Legacy	2018	54.0	1.0
Haifa-Legacy	2019	56.0	1.0
Haifa-Legacy	2020	52.0	1.0
Haifa-Legacy	2021	47.0	1.0
Haifa-Legacy	2022	47.0	1.0
Haifa-Legacy	2023	49.0	1.0
Haifa-Legacy	2024	41.0	1.0
