role,k,beta,se,ci_lo,ci_hi,n_k
legacy,-8,0.6335558157834376,0.03570188726321645,0.5635801167475333,0.7035315148193418,19
legacy,-7,0.08557675347019598,0.01489238700038666,0.05638767494943814,0.11476583199095383,2
legacy,-6,0.008423687726900692,0.14034357262311573,-0.2666497146144061,0.28349709006820756,2
legacy,-5,1.1846371734908832,0.31942396635357745,0.5585661994378713,1.8107081475438949,2
legacy,-4,-0.05830163676623229,0.1903109323559052,-0.4313110641838065,0.3147077906513419,2
legacy,-3,0.056313379995687196,0.13008132537645903,-0.1986460177421725,0.3112727777335469,2
legacy,-2,0.013211795069490662,0.1208731824604548,-0.22369964255300073,0.25012323269198206,2
legacy,0,-2.5271659889036586,2.4871839727100253,-7.402046575415309,2.3477145976079914,1
legacy,1,0.6840271202491622,0.5712254195468736,-0.43557470206271,1.8036289425610343,1
legacy,2,0.30459675480032034,0.20984777767021623,-0.10670488943330347,0.7158983990339441,1
legacy,3,0.19034139169247788,0.10400464591054577,-0.01350771429219183,0.3941904976771476,1
legacy,4,0.3225648617490147,0.09264364158601134,0.1409833242404325,0.504146399257597,1
